country,year,air_quality_index,population
Afghanistan,2017,,36296111.0
Afghanistan,2018,61.8,37171922.0
Afghanistan,2019,58.8,38041757.0
Afghanistan,2020,46.5,38928341.0
Afghanistan,2021,37.5,39835428.0
Albania,2017,,2873457.0
Albania,2018,,2866376.0
Albania,2019,,2854191.0
Albania,2020,16.0,2837849.0
Albania,2021,12.5,2811666.0
Algeria,2017,,41389174.0
Algeria,2018,,42228415.0
Algeria,2019,21.2,43053054.0
Algeria,2020,20.2,43851043.0
Algeria,2021,20.0,44616626.0
Andorra,2017,,76997.0
Andorra,2018,,77008.0
Andorra,2019,,77146.0
Andorra,2020,7.4,77265.0
Andorra,2021,7.3,77354.0
Angola,2017,,29816769.0
Angola,2018,,30809787.0
Angola,2019,15.9,31825299.0
Angola,2020,13.0,32866268.0
Angola,2021,11.0,33933611.0
Argentina,2017,,44044811.0
Argentina,2018,,44494502.0
Argentina,2019,12.4,44938712.0
Argentina,2020,14.2,45376763.0
Argentina,2021,9.34,45808747.0
Armenia,2017,,2944789.0
Armenia,2018,,2951741.0
Armenia,2019,28.65,2957728.0
Armenia,2020,25.75,2963234.0
Armenia,2021,35.3,2968128.0
Australia,2017,5.966666666666667,24601860.0
Australia,2018,6.272881355932204,24982688.0
Australia,2019,7.415789473684211,25365745.0
Australia,2020,6.660919540229885,25693267.0
Australia,2021,5.417757009345795,25739256.0
Austria,2017,12.004999999999999,8797566.0
Austria,2018,13.542857142857141,8840521.0
Austria,2019,11.216129032258063,8879920.0
Austria,2020,10.262162162162161,8916864.0
Austria,2021,10.709756097560977,8956279.0
Azerbaijan,2017,,9854033.0
Azerbaijan,2018,,9939771.0
Azerbaijan,2019,,10024283.0
Azerbaijan,2020,,10093121.0
Azerbaijan,2021,17.6,10145212.0
Bahamas,2017,,
Bahamas,2018,,
Bahamas,2019,3.3,
Bahamas,2020,,
Bahamas,2021,4.8,
Bahrain,2017,62.5,1494077.0
Bahrain,2018,59.8,1569440.0
Bahrain,2019,46.8,1641164.0
Bahrain,2020,39.7,1701583.0
Bahrain,2021,49.8,1748295.0
Bangladesh,2017,79.7,159685421.0
Bangladesh,2018,97.1,161376713.0
Bangladesh,2019,83.3,163046173.0
Bangladesh,2020,71.0,164689383.0
Bangladesh,2021,47.86,166303494.0
Belgium,2017,11.939473684210526,11375158.0
Belgium,2018,12.65,11427054.0
Belgium,2019,11.44090909090909,11488980.0
